Date,Open,High,Low,Close,Adj Close,Volume
2023-03-14,1680.295288,1779.917847,1665.902344,1703.507080,1703.507080,16159781303
2023-03-15,1705.189941,1721.079224,1616.630371,1656.180542,1656.180542,12715339905
2023-03-16,1656.332031,1693.139282,1639.261719,1677.215454,1677.215454,9364980166
2023-03-17,1677.296753,1799.343994,1667.131836,1792.485107,1792.485107,12467445117
2023-03-18,1793.592407,1840.357544,1751.262817,1761.659668,1761.659668,10317822213
2023-03-19,1762.963257,1843.844116,1762.963257,1785.576538,1785.576538,9170565472
2023-03-20,1785.416260,1807.725220,1728.103760,1735.321289,1735.321289,10978325507
2023-03-21,1735.617920,1836.288574,1725.007324,1806.760742,1806.760742,10758627746
2023-03-22,1804.957031,1821.458252,1717.765137,1737.717041,1737.717041,12484103560
2023-03-23,1737.140869,1853.888062,1732.524658,1816.405151,1816.405151,11012966854
2023-03-24,1815.819824,1819.935303,1730.349487,1752.044800,1752.044800,10913669383
2023-03-25,1751.469482,1762.674561,1716.651978,1743.764771,1743.764771,6614309912
2023-03-26,1743.842163,1797.880249,1741.182861,1775.676758,1775.676758,6990313307
2023-03-27,1775.481323,1781.379272,1690.516602,1715.460815,1715.460815,8585750760
2023-03-28,1715.327393,1791.110962,1702.564697,1772.785645,1772.785645,8346890042
2023-03-29,1772.899902,1825.600952,1772.899902,1793.001831,1793.001831,9136176952
2023-03-30,1793.345947,1827.280273,1766.248901,1792.737183,1792.737183,9724496987
2023-03-31,1793.620117,1844.677368,1783.142212,1822.022095,1822.022095,9149379763
2023-04-01,1821.704346,1840.173096,1811.118530,1813.860596,1813.860596,5556443606
2023-04-02,1821.192139,1824.328857,1774.872437,1795.708130,1795.708130,6199721188
2023-04-03,1794.922485,1839.157837,1765.518921,1810.297119,1810.297119,9643826401
2023-04-04,1810.142090,1886.594604,1802.955444,1871.005127,1871.005127,10398322335
2023-04-05,1870.965088,1937.497559,1865.941895,1909.114014,1909.114014,10319231689
2023-04-06,1909.143555,1909.271729,1857.085083,1872.922607,1872.922607,8263191830
2023-04-07,1872.734131,1882.299194,1845.993896,1865.636108,1865.636108,8356130492
2023-04-08,1864.679077,1879.107788,1848.875488,1849.498169,1849.498169,5016362733
2023-04-09,1849.672241,1873.057373,1828.700073,1859.387817,1859.387817,6361497715
2023-04-10,1859.741211,1917.300171,1848.164185,1911.207520,1911.207520,8380134275
2023-04-11,1911.375854,1936.728271,1886.534180,1892.189697,1892.189697,8877222956
2023-04-12,1891.949707,1929.881226,1860.036865,1920.682129,1920.682129,11010714187
2023-04-13,1917.698364,2022.150146,1901.860352,2012.634644,2012.634644,12546950499
2023-04-14,2013.930664,2126.316650,2011.503296,2101.635498,2101.635498,16298099411
2023-04-15,2101.616455,2111.075439,2076.510742,2092.466797,2092.466797,8036468153
2023-04-16,2092.281006,2137.445068,2076.832031,2120.005859,2120.005859,7898126856
2023-04-17,2120.001221,2120.113525,2063.038574,2076.242920,2076.242920,9648882546
2023-04-18,2075.855225,2121.531494,2057.653809,2104.537354,2104.537354,9134015143
2023-04-19,2103.946289,2104.857178,1928.582886,1936.403442,1936.403442,13779745451
2023-04-20,1936.417969,1979.573364,1918.132813,1943.097656,1943.097656,11324135406
2023-04-21,1943.409912,1955.649170,1827.788940,1849.999878,1849.999878,12044274581
2023-04-22,1849.286499,1886.781616,1845.849243,1874.228638,1874.228638,6970642726
2023-04-23,1874.171509,1882.229736,1838.992432,1862.062012,1862.062012,6607451862
2023-04-24,1862.085327,1888.193726,1811.792114,1842.757446,1842.757446,8438191338
2023-04-25,1842.204346,1877.484985,1805.322876,1866.753662,1866.753662,8677255481
2023-04-26,1866.148926,1962.567627,1792.463867,1866.564209,1866.564209,14356524696
2023-04-27,1866.693237,1936.945190,1863.147949,1908.786377,1908.786377,14008145806
2023-04-28,1909.273071,1923.199219,1876.291870,1892.512817,1892.512817,7691759733
2023-04-29,1892.565063,1916.973755,1887.990479,1908.916992,1908.916992,4796651246
2023-04-30,1908.741333,1938.417969,1876.924316,1876.924316,1876.924316,6539641957
2023-05-01,1868.891113,1886.206421,1809.193237,1831.954834,1831.954834,8625783201
2023-05-02,1831.726563,1879.759521,1824.327026,1870.789307,1870.789307,7536785767
2023-05-03,1870.687134,1915.504150,1845.871826,1904.651855,1904.651855,8306390869
2023-05-04,1905.168945,1915.871704,1868.629761,1877.704102,1877.704102,6578438233
2023-05-05,1877.833130,1998.413574,1876.946655,1995.060913,1995.060913,9498261360
2023-05-06,1995.479126,2017.559448,1870.605591,1900.221802,1900.221802,9623243037
2023-05-07,1899.917603,1933.998413,1873.076416,1873.076416,1873.076416,6883942236
2023-05-08,1872.475098,1886.162109,1818.450562,1849.042725,1849.042725,9895102899
2023-05-09,1849.061035,1860.667480,1832.906982,1848.603149,1848.603149,6129516088
2023-05-10,1848.213501,1886.800293,1795.668823,1842.401489,1842.401489,9945549603
2023-05-11,1842.492065,1842.492065,1774.132568,1796.490601,1796.490601,8353828312
2023-05-12,1795.176636,1812.424927,1742.403809,1808.019775,1808.019775,9047198660
2023-05-13,1808.375000,1816.058472,1788.475586,1796.114868,1796.114868,4647630864
2023-05-14,1796.107910,1823.490723,1793.228760,1800.500977,1800.500977,4711210241
